ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics,Domains
31260,Agricola,2007,1,5,150,12,63498,7.94,31,3.64,75679,"Advantage Token, Automatic Resource Growth, Card Drafting, Enclosure, Hand Management, Increase Value of Unchosen Resources, Solo / Solitaire Game, Turn Order: Claim Action, Variable Player Powers, Worker Placement",Strategy Games
170216,Blood Rage,2015,2,4,90,14,33940,8,32,2.88,40664,"Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",Strategy Games
205059,Mansions of Madness: Second Edition,2016,1,5,180,14,25116,86,33,2.69,39007,"Area Movement, Cooperative Game, Dice Rolling, Hand Management, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Team-Based Game, Traitor Game, Variable Player Powers",Thematic Games
180263,The 7th Continent,2017,1,4,1000,14,16868,8.15,34,2.87,30488,"Cooperative Game, Grid Movement, Hand Management, Map Addition, Modular Board, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling, Variable Player Powers",Thematic Games
221107,Pandemic Legacy: Season 2,2017,2,4,60,14,12100,8.15,35,3.25,24373,"Cooperative Game, Hand Management, Legacy Game, Pick-up and Deliver, Point to Point Movement, Set Collection, Trading, Variable Player Powers","Strategy Games, Thematic Games"
199792,Everdell,2018,1,4,80,13,19552,88,36,2.81,29225,"Card Drafting, End Game Bonuses, Hand Management, Income, Solo / Solitaire Game, Variable Set-up, Worker Placement","Family Games, Strategy Games"
276025,Maracaibo,2019,1,4,120,12,7645,8.29,37,3.87,12042,"Contracts, End Game Bonuses, Events, Hand Management, Income, Movement Points, Narrative Choice / Paragraph, Point to Point Movement, Race, Rondel, Scenario / Mission / Campaign Game, Set Collection, Solo / Solitaire Game, Stock Holding, Sudden Death Ending, Tech Trees / Tech Tracks, Track Movement, Variable Set-up",Strategy Games
55690,Kingdom Death: Monster,2015,1,4,180,17,7553,8.66,38,4.25,10047,"Cooperative Game, Dice Rolling, Grid Movement, Role Playing, Solo / Solitaire Game, Storytelling",Thematic Games
2651,Power Grid,2004,2,6,120,12,56214,7.86,39,3.27,66489,"Auction/Bidding, Auction: Turn Order Until Pass, Catch the Leader, Income, Market, Network and Route Building, Turn Order: Stat-Based",Strategy Games
126163,Tzolk'in: The Mayan Calendar,2012,2,4,90,13,30790,7.9,40,3.67,35520,"Bias, End Game Bonuses, Turn Order: Claim Action, Worker Placement",Strategy Games
284083,The Crew: The Quest for Planet Nine,2019,2,5,20,10,15027,82,41,1.99,31356,"Communication Limits, Cooperative Game, Hand Management, Scenario / Mission / Campaign Game, Trick-taking","Family Games, Strategy Games"
209010,Mechs vs. Minions,2016,2,4,120,14,14056,85,42,2.41,20196,"Action Queue, Bias, Card Drafting, Cooperative Game, Dice Rolling, Modular Board, Programmed Movement, Role Playing, Variable Player Powers","Strategy Games, Thematic Games"
247763,Underwater Cities,2018,1,4,150,12,9979,8.13,43,3.58,13474,"End Game Bonuses, Hand Management, Income, Network and Route Building, Solo / Solitaire Game, Turn Order: Stat-Based, Worker Placement",Strategy Games
164153,Star Wars: Imperial Assault,2014,1,5,120,14,20512,82,44,3.3,35018,"Dice Rolling, Die Icon Resolution, Grid Movement, Line of Sight, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Team-Based Game, Variable Player Powers",Thematic Games
216132,Clans of Caledonia,2017,1,4,120,12,14835,81,45,3.46,17634,"Commodity Speculation, Contracts, Market, Modular Board, Network and Route Building, Solo / Solitaire Game, Turn Order: Pass Order, Variable Player Powers, Variable Set-up",Strategy Games
185343,Anachrony,2017,1,4,120,15,11585,8.1,46,4,15513,"Dice Rolling, Solo / Solitaire Game, Tug of War, Turn Order: Claim Action, Variable Player Powers, Worker Placement, Worker Placement, Different Worker Types",Strategy Games
35677,Le Havre,2008,1,5,150,12,26494,7.87,47,3.74,29701,"Automatic Resource Growth, End Game Bonuses, Increase Value of Unchosen Resources, Loans, Ownership, Solo / Solitaire Game, Worker Placement",Strategy Games
192135,Too Many Bones,2017,1,4,120,12,6055,8.45,48,3.85,9087,"Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Die Icon Resolution, Hand Management, Resource to Move, Role Playing, Roles with Asymmetric Information, Solo / Solitaire Game, Stat Check Resolution, Turn Order: Role Order, Variable Player Powers","Strategy Games, Thematic Games"
25613,Through the Ages: A Story of Civilization,2006,2,4,120,12,18004,7.93,49,4.17,17423,"Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Hand Management",Strategy Games
230802,Azul,2017,2,4,45,8,53615,7.83,50,1.77,79526,"Card Drafting, End Game Bonuses, Pattern Building, Set Collection, Tile Placement, Turn Order: Claim Action","Abstract Games, Family Games"
285774,Marvel Champions: The Card Game,2019,1,4,90,14,9616,8.2,51,2.8,16713,"Cooperative Game, Deck Construction, Hand Management, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers, Variable Set-up",Customizable Games
72125,Eclipse,2011,2,6,180,14,26165,7.89,52,3.7,26710,"Area Majority / Influence, Dice Rolling, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers",Strategy Games
266507,Clank! Legacy: Acquisitions Incorporated,2019,2,4,120,13,3295,8.79,53,2.7,7209,"Card Drafting, Deck Bag and Pool Building, Legacy Game, Once-Per-Game Abilities, Point to Point Movement, Push Your Luck",Thematic Games
124742,Android: Netrunner,2012,2,2,45,14,26748,7.87,54,3.38,41315,"Action Points, Deck Construction, Hand Management, Secret Unit Deployment, Take That, Variable Player Powers",Customizable Games
121921,Robinson Crusoe: Adventures on the Cursed Island,2012,1,4,120,14,34179,7.84,55,3.78,52934,"Action Queue, Cooperative Game, Dice Rolling, Hexagon Grid, Narrative Choice / Paragraph, Solo / Solitaire Game, Tile Placement, Variable Player Powers, Worker Placement",Thematic Games
171623,The Voyages of Marco Polo,2015,2,4,100,12,20240,7.87,56,3.19,22601,"Contracts, Dice Rolling, Income, Point to Point Movement, Resource to Move, Set Collection, Turn Order: Claim Action, Variable Player Powers, Variable Set-up, Worker Placement with Dice Workers",Strategy Games
125153,The Gallerist,2015,1,4,150,13,9705,84,57,4.28,13057,"Commodity Speculation, Investment, Set Collection, Solo / Solitaire Game, Worker Placement",Strategy Games
251247,Barrage,2019,1,4,120,14,6500,8.22,58,42,8963,"Action Drafting, Contracts, End Game Bonuses, Income, Network and Route Building, Solo / Solitaire Game, Turn Order: Stat-Based, Variable Player Powers, Variable Set-up, Worker Placement",Strategy Games
28143,Race for the Galaxy,2007,2,4,60,12,46393,7.76,59,2.98,56264,"Follow, Hand Management, Set Collection, Simultaneous Action Selection, Turn Order: Role Order, Variable Phase Order, Variable Player Powers",Strategy Games
159675,Fields of Arle,2014,1,2,120,13,8111,89,60,3.88,12561,"Automatic Resource Growth, Highest-Lowest Scoring, Income, Solo / Solitaire Game, Worker Placement",Strategy Games
68448,7 Wonders,2010,2,7,30,10,84371,7.75,61,2.33,112410,"Card Drafting, Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers","Family Games, Strategy Games"
229853,Teotihuacan: City of Gods,2018,1,4,120,14,12970,7.95,62,3.77,18082,"Area Movement, Rondel, Set Collection, Solo / Solitaire Game, Tile Placement, Track Movement, Variable Set-up, Worker Placement, Worker Placement with Dice Workers",Strategy Games
201808,Clank!: A Deck-Building Adventure,2016,2,4,60,12,27893,7.81,63,2.21,36265,"Card Drafting, Deck Bag and Pool Building, Drafting, End Game Bonuses, Pick-up and Deliver, Player Elimination, Point to Point Movement, Push Your Luck, Variable Set-up","Family Games, Strategy Games"
244521,The Quacks of Quedlinburg,2018,2,4,45,10,22327,7.82,64,1.94,34053,"Catch the Leader, Deck Bag and Pool Building, Dice Rolling, Push Your Luck, Variable Set-up",Family Games
157354,Five Tribes,2014,2,4,80,13,32265,7.78,66,2.86,41676,"Auction/Bidding, Constrained Bidding, End Game Bonuses, Hidden Victory Points, Mancala, Modular Board, Set Collection, Square Grid, Turn Order: Auction, Variable Player Powers, Variable Set-up, Victory Points as a Resource",Strategy Games
62219,Dominant Species,2010,2,6,240,14,18018,7.85,67,44,19494,"Area Majority / Influence, Card Drafting, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Take That, Tile Placement, Variable Player Powers, Worker Placement",Strategy Games
184267,On Mars,2020,1,4,150,14,5781,8.3,68,4.63,10719,"Area Majority / Influence, Contracts, Delayed Purchase, Drafting, End Game Bonuses, Hand Management, Hexagon Grid, Income, Movement Points, Moving Multiple Units, Point to Point Movement, Set Collection, Solo / Solitaire Game, Tech Trees / Tech Tracks, Tile Placement, Variable Phase Order, Worker Placement",Strategy Games
161533,Lisboa,2017,1,4,120,12,6693,8.18,69,4.57,10212,"Area Majority / Influence, Card Drafting, Hand Management, Solo / Solitaire Game, Tile Placement",Strategy Games
191189,Aeon's End,2016,1,4,60,14,10899,82,70,2.76,16345,"Card Drafting, Cooperative Game, Deck Bag and Pool Building, Delayed Purchase, Hand Management, Solo / Solitaire Game, Variable Phase Order, Variable Player Powers, Variable Set-up",Strategy Games
110327,Lords of Waterdeep,2012,2,5,120,12,45929,7.75,71,2.46,56283,"Card Drafting, Contracts, Hidden Roles, Increase Value of Unchosen Resources, Ownership, Set Collection, Take That, Turn Order: Claim Action, Worker Placement",Strategy Games
266810,Paladins of the West Kingdom,2019,1,4,120,12,8248,87,72,3.67,15192,"Card Drafting, Market, Solo / Solitaire Game, Worker Placement, Worker Placement, Different Worker Types",Strategy Games
122515,Keyflower,2012,2,6,120,12,19003,7.8,73,3.35,22067,"Auction/Bidding, Auction: Fixed Placement, Constrained Bidding, End Game Bonuses, Hexagon Grid, Memory, Modular Board, Multiple-Lot Auction, Network and Route Building, Ownership, Set Collection, Tile Placement, Turn Order: Auction, Worker Placement, Worker Placement, Different Worker Types",Strategy Games
200680,Agricola (Revised Edition),2016,1,4,120,12,9491,84,74,3.5,13144,"Card Drafting, Enclosure, Hand Management, Worker Placement, Advantage Token, Automatic Resource Growth, Increase Value of Unchosen Resources, Solo / Solitaire Game, Team-Based Game, Turn Order: Claim Action, Variable Player Powers",Strategy Games
256960,Pax Pamir: Second Edition,2019,1,5,120,13,4373,8.43,75,3.75,8538,"Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Increase Value of Unchosen Resources, Score-and-Reset Game, Simulation, Solo / Solitaire Game",Strategy Games
264220,Tainted Grail: The Fall of Avalon,2019,1,4,120,14,6134,8.41,76,3.28,12918,"Area Movement, Campaign / Battle Card Driven, Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Hand Management, Map Addition, Modular Board, Narrative Choice / Paragraph, Push Your Luck, Role Playing, Solo / Solitaire Game, Storytelling, Variable Player Powers",Thematic Games
18602,Caylus,2005,2,5,150,12,26796,7.77,77,3.8,26714,"Ownership, Turn Order: Claim Action, Turn Order: Pass Order, Variable Set-up, Worker Placement",Strategy Games
236457,Architects of the West Kingdom,2018,1,5,80,12,16886,7.83,78,2.77,24145,"Drafting, Solo / Solitaire Game, Variable Player Powers, Worker Placement",Strategy Games
12493,Twilight Imperium: Third Edition,2005,3,6,240,14,18302,7.84,80,4.25,20048,"Action Points, Area-Impulse, Dice Rolling, Follow, Hexagon Grid, Increase Value of Unchosen Resources, Modular Board, Player Elimination, Tile Placement, Trading, Variable Phase Order, Variable Player Powers, Voting","Strategy Games, Thematic Games"
37111,Battlestar Galactica: The Board Game,2008,3,6,180,14,32889,7.74,81,3.24,35758,"Area Movement, Dice Rolling, Hand Management, Hidden Roles, Once-Per-Game Abilities, Role Playing, Semi-Cooperative Game, Team-Based Game, Traitor Game, Variable Player Powers, Variable Set-up, Voting",Thematic Games
146021,Eldritch Horror,2013,1,8,240,14,29347,7.81,82,3.32,43238,"Action Points, Cooperative Game, Dice Rolling, Point to Point Movement, Role Playing, Solo / Solitaire Game, Stat Check Resolution, Variable Player Powers",Thematic Games
73439,Troyes,2010,2,4,90,12,18930,7.76,83,3.46,21299,"Area Majority / Influence, Dice Rolling, End Game Bonuses, Hidden Victory Points, Lose a Turn, Ownership, Set Collection, Solo / Solitaire Game, Turn Order: Progressive, Worker Placement, Worker Placement with Dice Workers, Worker Placement, Different Worker Types",Strategy Games
205896,Rising Sun,2018,3,5,120,14,15767,7.88,84,3.28,20763,"Action Drafting, Alliances, Area Majority / Influence, Area Movement, Auction: Sealed Bid, Betting and Bluffing, Drafting, End Game Bonuses, Follow, Force Commitment, Negotiation, Set Collection, Simultaneous Action Selection, Take That, Variable Phase Order, Variable Player Powers, Variable Set-up",Strategy Games
40834,Dominion: Intrigue,2009,2,4,30,13,30118,7.72,85,2.42,43570,"Deck Bag and Pool Building, Hand Management",Strategy Games
172386,Mombasa,2015,2,4,150,12,10954,7.88,86,3.9,13057,"Action Queue, Area Majority / Influence, Card Drafting, Deck Bag and Pool Building, Hand Management, Investment, Simultaneous Action Selection, Stock Holding, Variable Player Powers, Worker Placement",Strategy Games
182874,Grand Austria Hotel,2015,2,4,120,12,12604,7.85,87,3.22,15014,"Action Drafting, Contracts, Dice Rolling, End Game Bonuses, Hand Management, Once-Per-Game Abilities, Set Collection, Variable Player Powers, Variable Set-up",Strategy Games
269385,The Lord of the Rings: Journeys in Middle-Earth,2019,1,5,120,14,8822,88,88,2.57,15716,"Cooperative Game, Deck Bag and Pool Building, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers",Thematic Games
163412,Patchwork,2014,2,2,30,8,46536,7.66,89,1.64,68860,"Card Drafting, Grid Coverage, Income, Square Grid, Tile Placement, Time Track, Victory Points as a Resource","Abstract Games, Family Games"
170042,Raiders of the North Sea,2015,2,4,80,12,15990,7.79,90,2.53,21145,"Dice Rolling, Hand Management, Set Collection, Worker Placement, Worker Placement, Different Worker Types",Strategy Games
144733,Russian Railroads,2013,2,4,120,12,14845,7.77,91,3.41,14737,"End Game Bonuses, Worker Placement",Strategy Games
178900,Codenames,2015,2,8,15,14,67688,7.62,93,1.29,107682,"Communication Limits, Memory, Push Your Luck, Team-Based Game",Party Games
132531,Roll for the Galaxy,2014,2,5,45,13,26421,7.67,94,2.77,32192,"Action Retrieval, Contracts, Dice Rolling, Follow, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers",Strategy Games
102680,Trajan,2011,2,4,120,12,14728,7.76,95,3.65,17181,"Area Movement, Card Drafting, Hand Management, Mancala, Rondel, Set Collection",Strategy Games
203993,Lorenzo il Magnifico,2016,2,4,120,12,9140,7.89,96,3.28,11494,"Card Drafting, Dice Rolling, Variable Player Powers, Worker Placement, Worker Placement with Dice Workers",Strategy Games
36218,Dominion,2008,2,4,30,13,78089,7.62,98,2.36,101839,"Deck Bag and Pool Building, Delayed Purchase, Hand Management, Take That, Variable Set-up",Strategy Games
30549,Pandemic,2008,2,4,45,8,102214,7.61,99,2.41,155312,"Action Points, Cooperative Game, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers","Family Games, Strategy Games"
198928,Pandemic: Iberia,2016,2,5,45,8,8359,7.92,100,2.58,14808,"Action Points, Cooperative Game, Hand Management, Point to Point Movement, Set Collection, Solo / Solitaire Game, Trading, Variable Player Powers",Strategy Games
172287,Champions of Midgard,2015,2,4,90,10,13345,7.77,101,2.59,19380,"Dice Rolling, Set Collection, Variable Player Powers, Worker Placement",Strategy Games
225694,Decrypto,2018,3,8,45,12,11690,7.79,102,1.83,18890,"Communication Limits, Targeted Clues, Team-Based Game",Party Games
127023,Kemet,2012,2,5,120,13,16277,7.72,103,31,18747,"Action Points, Area Majority / Influence, Area Movement, Card Drafting, Card Play Conflict Resolution, Hand Management",Strategy Games
196340,Yokohama,2016,2,4,90,14,8865,7.85,104,3.27,12088,"Contracts, End Game Bonuses, Grid Movement, Modular Board, Network and Route Building, Set Collection, Variable Set-up, Worker Placement, Worker Placement, Different Worker Types",Strategy Games
233371,Clank! In! Space!: A Deck-Building Adventure,2017,2,4,90,12,9188,7.86,105,2.54,13715,"Card Drafting, Deck Bag and Pool Building, Modular Board, Pick-up and Deliver, Player Elimination, Point to Point Movement, Push Your Luck",Strategy Games
175155,Forbidden Stars,2015,2,4,180,14,7516,7.97,106,3.83,11900,"Area Majority / Influence, Area Movement, Card Play Conflict Resolution, Dice Rolling, Hand Management, Modular Board, Order Counters, Variable Player Powers",Strategy Games
155821,Inis,2016,2,4,90,14,12665,7.8,107,2.88,16477,"Action Drafting, Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Card Drafting, Hand Management, King of the Hill, Map Addition, Modular Board, Variable Phase Order, Variable Set-up",Strategy Games
281259,The Isle of Cats,2019,1,4,90,8,6450,84,108,2.32,12360,"Card Drafting, Drafting, Grid Coverage, Hidden Victory Points, Income, Pattern Building, Set Collection, Solo / Solitaire Game, Square Grid, Tile Placement, Turn Order: Stat-Based","Family Games, Strategy Games"
103885,Star Wars: X-Wing Miniatures Game,2012,2,2,45,14,23061,7.69,109,2.49,38018,"Action Queue, Critical Hits and Failures, Dice Rolling, Movement Template, Player Elimination, Simulation, Simultaneous Action Selection, Variable Player Powers","Customizable Games, Wargames"
161970,Alchemists,2014,2,4,120,13,18250,7.67,110,3.9,23577,"Action Drafting, Card Drafting, Constrained Bidding, End Game Bonuses, Events, Hand Management, Turn Order: Progressive",Strategy Games
34635,Stone Age,2008,2,4,90,10,44975,7.57,111,2.48,47743,"Contracts, Dice Rolling, End Game Bonuses, Set Collection, Turn Order: Progressive, Worker Placement","Family Games, Strategy Games"
146652,Legendary Encounters: An Alien Deck Building Game,2014,1,5,60,17,11251,7.79,112,2.7,16119,"Card Drafting, Cooperative Game, Deck Bag and Pool Building, Events, Hidden Roles, Player Elimination, Solo / Solitaire Game, Team-Based Game, Variable Player Powers",Thematic Games
175640,Vinhos Deluxe Edition,2016,1,4,135,14,4245,8.21,113,45,7957,"Area Majority / Influence, Variable Phase Order, Worker Placement",Strategy Games
233398,Endeavor: Age of Sail,2018,2,5,90,13,6265,82,114,2.8,8879,"Area Majority / Influence, Card Drafting, Point to Point Movement, Set Collection, Tech Trees / Tech Tracks",Strategy Games
147020,Star Realms,2014,2,2,20,12,35947,7.58,115,1.94,52271,"Card Drafting, Deck Bag and Pool Building, Delayed Purchase, Hand Management, Take That",Strategy Games
104162,Descent: Journeys in the Dark (Second Edition),2012,1,5,120,14,22715,7.69,116,3.2,35659,"Action Points, Cooperative Game, Dice Rolling, Grid Movement, Hand Management, Line of Sight, Modular Board, Movement Points, Multiple Maps, Scenario / Mission / Campaign Game, Team-Based Game, Variable Player Powers",Thematic Games
263918,Cartographers,2019,1,100,45,10,10754,7.76,117,1.91,19320,"Bingo, Grid Coverage, Line Drawing, Paper-and-Pencil, Solo / Solitaire Game",Family Games
262712,Res Arcana,2019,2,4,60,12,9719,7.8,118,2.59,13790,"Card Drafting, Hand Management, Race, Take That, Turn Order: Pass Order, Variable Player Powers",Strategy Games
4098,Age of Steam,2002,1,6,120,13,8871,7.78,119,3.9,9636,"Auction/Bidding, Catch the Leader, Connections, Dice Rolling, Loans, Network and Route Building, Pick-up and Deliver, Player Elimination, Scenario / Mission / Campaign Game, Selection Order Bid, Tile Placement, Turn Order: Auction, Victory Points as a Resource",Strategy Games
148949,Istanbul,2014,2,5,60,10,25234,7.58,120,2.58,30353,"Contracts, Dice Rolling, Grid Movement, Modular Board, Network and Route Building, Pick-up and Deliver, Race, Variable Set-up, Worker Placement",Strategy Games
14996,Ticket to Ride: Europe,2005,2,5,60,8,58608,7.55,121,1.94,83075,"Card Drafting, Connections, End Game Bonuses, Hand Management, Network and Route Building, Push Your Luck, Set Collection",Family Games
150376,Dead of Winter: A Crossroads Game,2014,2,5,120,13,39287,7.57,122,32,53328,"Action Points, Area Movement, Cooperative Game, Dice Rolling, Hand Management, Narrative Choice / Paragraph, Push Your Luck, Semi-Cooperative Game, Storytelling, Trading, Traitor Game, Variable Player Powers, Voting",Thematic Games
